date,game_pk,pitcher_id,pitcher_name,pitcher_team,opponent_team,is_home,line,over_odds,under_odds,odds_source,expected_outs,p_over_raw,p_over_cal,fair_over,hold_pct,actual_outs,over_hit,logged_at,p_over_shadow
2026-08-24,823260,677952,Braxton Ashcraft,PIT,SD,0,17.5,-142,+107,live,16.18,0.4583,0.4583,0.5485,0.0699,18,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,822695,676917,Cade Cavalli,WSH,COL,1,17.5,-200,+149,live,16.62,0.4896,0.4896,0.6241,0.0683,18,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823183,687931,Carson Whisenhunt,SF,CIN,1,15.5,+108,-143,live,15.17,0.4425,0.4425,0.4496,0.0692,8,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823183,695505,Chase Burns,CIN,SF,0,17.5,-113,-117,live,16.39,0.4664,0.4664,0.496,0.0697,11,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824235,656876,Drew Rasmussen,TB,DET,0,17.5,-115,-115,live,16.14,0.4374,0.4374,0.5,0.0698,18,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824235,664285,Framber Valdez,DET,TB,1,18.5,+131,-175,live,17.06,0.2744,0.2744,0.4049,0.0693,18,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823992,691946,George Klassen,LAA,CLE,1,15.5,+116,-155,live,14.88,0.4115,0.4115,0.4323,0.0708,16,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824964,605488,Jeffrey Springs,ATH,MIN,1,15.5,+138,-186,live,15.13,0.4397,0.4397,0.3925,0.0705,14,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824557,664353,Jose Urquidy,CWS,TEX,1,14.5,-147,+111,live,12.19,0.3485,0.3485,0.5567,0.0691,9,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,825041,592332,Kevin Gausman,CHC,AZ,0,16.5,-127,-104,live,16.75,0.5788,0.5788,0.5232,0.0693,21,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824557,677958,Kumar Rocker,TEX,CWS,0,14.5,-214,+159,live,15.23,0.6876,0.6876,0.6384,0.0676,17,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823097,669302,Logan Gilbert,SEA,PHI,1,17.5,-181,+136,live,17.79,0.6382,0.6382,0.6032,0.0679,15,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,825041,518876,Merrill Kelly,AZ,CHC,1,15.5,-132,+100,live,16.59,0.6077,0.6077,0.5323,0.069,17,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823992,800048,Parker Messick,CLE,LAA,0,17.5,-182,+136,live,17.03,0.5613,0.5613,0.6037,0.0691,18,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823828,624133,Ranger Suarez,BOS,MIA,0,17.5,-110,-120,live,15.24,0.3291,0.3291,0.4899,0.0693,15,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823260,592662,Robbie Ray,SD,PIT,1,16.5,-148,+111,live,16.3,0.5219,0.5219,0.5574,0.0707,16,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,822695,663372,Ryan Feltner,COL,WSH,0,16.5,-113,-118,live,15.65,0.4442,0.4442,0.495,0.0718,17,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823828,645261,Sandy Alcantara,MIA,BOS,1,18.5,+106,-141,live,18.41,0.4302,0.4302,0.4535,0.0705,21,1,2026-08-25T20:38:54.094087+00:00,
2026-08-24,823097,554430,Zack Wheeler,PHI,SEA,0,17.5,-176,+132,live,16.17,0.4571,0.4571,0.5967,0.0687,12,0,2026-08-25T20:38:54.094087+00:00,
2026-08-24,824964,805673,Zebby Matthews,MIN,ATH,0,16.5,-132,-101,live,16.57,0.556,0.556,0.531,0.0715,21,1,2026-08-25T20:38:54.094087+00:00,
2026-08-25,823098,605400,Aaron Nola,PHI,SEA,0,17.5,-133,+100,live,16.29,0.4587,0.4587,0.5331,0.0708,18,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823181,605288,Adrian Houser,SF,CIN,1,14.5,-131,-101,live,14.92,0.6603,0.6603,0.5302,0.0696,5,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,822693,674841,Andrew Alvarez,WSH,COL,1,15.5,+116,-154,live,15.1,0.4415,0.4415,0.433,0.0693,14,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824556,641743,Anthony Kay,CWS,TEX,1,16.5,-133,+100,live,15.91,0.4715,0.4715,0.5331,0.0708,14,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823181,663903,Brady Singer,CIN,SF,0,17.5,-129,-103,live,16.53,0.4758,0.4758,0.5261,0.0707,17,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,825042,694297,Brandon Pfaadt,AZ,CHC,1,17.5,-128,-104,live,17.31,0.586,0.586,0.5241,0.0712,20,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824881,693821,Bryce Elder,ATL,LAD,1,15.5,-105,-126,live,16.7,0.637,0.637,0.4788,0.0697,18,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823016,605135,Chris Bassitt,BAL,STL,0,15.5,-134,+101,live,15.06,0.4283,0.4283,0.5351,0.0702,20,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,825042,605280,Clay Holmes,CHC,AZ,0,16.5,-109,-121,live,16.41,0.5373,0.5373,0.4878,0.069,21,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823505,814490,Ethan Pecko,HOU,NYY,0,14.5,-120,-110,live,14.65,0.6243,0.6243,0.5101,0.0693,13,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824962,695611,Gage Jump,ATH,MIN,1,15.5,+105,-139,live,16.44,0.594,0.594,0.4562,0.0694,19,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823989,668909,Gavin Williams,CLE,LAA,0,17.5,-178,+133,live,16.99,0.5523,0.5523,0.5987,0.0695,4,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823098,669923,George Kirby,SEA,PHI,1,17.5,-125,-106,live,16.8,0.5199,0.5199,0.5192,0.0701,23,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824233,695549,Jackson Jobe,DET,TB,1,15.5,-122,-108,live,14.75,0.3937,0.3937,0.5142,0.0688,13,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824556,594798,Jacob deGrom,TEX,CWS,0,16.5,-128,-104,live,15.52,0.4297,0.4297,0.5241,0.0712,11,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823585,690986,Kyle Harrison,MIL,NYM,0,15.5,+158,-213,live,14.6,0.3748,0.3748,0.3629,0.0681,15,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823016,669461,Matthew Liberatore,STL,BAL,1,16.5,-131,-101,live,15.86,0.4682,0.4682,0.5302,0.0696,12,0,2026-08-27T01:05:44.296995+00:00,
2026-08-25,822773,453286,Max Scherzer,TOR,KC,1,15.5,+122,-163,live,14.91,0.415,0.415,0.4209,0.0702,15,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823259,650633,Michael King,SD,PIT,1,17.5,-135,+101,live,17.15,0.5608,0.5608,0.5359,0.072,21,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823259,694973,Paul Skenes,PIT,SD,0,15.5,-126,-105,live,15.98,0.5426,0.5426,0.5212,0.0697,18,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823826,801139,Payton Tolle,BOS,MIA,0,17.5,-158,+119,live,16.5,0.4917,0.4917,0.5729,0.069,16,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,822773,607625,Seth Lugo,KC,TOR,0,17.5,-146,+110,live,16.43,0.4748,0.4748,0.5548,0.0697,15,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824962,671737,Taj Bradley,MIN,ATH,0,17.5,-121,-110,live,16.64,0.5006,0.5006,0.5111,0.0713,20,1,2026-08-27T01:01:37.424293+00:00,
2026-08-25,824881,607192,Tyler Glasnow,LAD,ATL,0,15.5,+100,-133,live,14.61,0.3832,0.3832,0.4669,0.0708,15,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823826,663969,Tyler Phillips,MIA,BOS,1,14.5,-155,+116,live,14.37,0.6007,0.6007,0.5677,0.0708,14,0,2026-08-27T01:05:44.296995+00:00,
2026-08-25,823989,700712,Walbert Urena,LAA,CLE,1,15.5,-116,-114,live,15.92,0.5441,0.5441,0.502,0.0697,11,0,2026-08-27T01:01:37.424293+00:00,
2026-08-25,823505,701542,Will Warren,NYY,HOU,1,15.5,-106,-125,live,15.96,0.5466,0.5466,0.4808,0.0701,15,0,2026-08-27T01:01:37.424293+00:00,
